gamma,epsilon,epsilon_decay,min_epsilon,learning_rate,batch_size,target_update_freq,memory_size,avg_reward,avg_reward_last_N,avg_wait_last_N,max_wait_last_N,,
0.99,0.9,0.97,0.05,0.001,128,1800,10000,-1396.92,-1116.225,7.095134054,298.2,,1
0.99,0.9,0.97,0.05,0.001,128,1800,20000,-1360.85,-1091.625,6.914891943,293.5,,2
0.99,0.9,0.99,0.05,0.001,128,1800,10000,-1850.245,-1280.9,8.179261697,299.35,,3
0.99,0.9,0.99,0.05,0.001,128,1800,20000,-1897.98,-1266.275,8.173141706,290.45,,4
0.995,0.9,0.97,0.05,0.001,128,1800,10000,-1411.285,-1153.025,7.278935217,299.4,,5
0.995,0.9,0.97,0.05,0.001,128,1800,20000,-1414.34,-1149.275,7.277027306,298.5,,6
0.995,0.9,0.99,0.05,0.001,128,1800,10000,-1889.895,-1262.3,8.202030991,292.65,,7
0.995,0.9,0.99,0.05,0.001,128,1800,20000,-1919.05,-1265.45,8.191752846,275.9,,8
0.999,0.9,0.97,0.05,0.001,128,1800,10000,-1355.785,-1106,7.018258895,298.45,,9
0.999,0.9,0.97,0.05,0.001,128,1800,20000,-1346.825,-1108.3,7.048159635,297.75,,10
0.999,0.9,0.99,0.05,0.001,128,1800,10000,-1910.805,-1329.25,8.555047002,298.4,,11
0.999,0.9,0.99,0.05,0.001,128,1800,20000,-1915.69,-1228.725,7.894369053,296.95,,12
0.99,0.9,0.95,0.05,0.001,128,1800,10000,-1305.5,-1095.825,6.956916559,299.4,,13
0.99,0.9,0.95,0.05,0.001,128,1800,20000,-1281.275,-1079.65,6.853056829,296.75,,14
0.995,0.9,0.95,0.05,0.001,128,1800,10000,-1300.06,-1095.35,6.957620785,297.4,,15
0.995,0.9,0.95,0.05,0.001,128,1800,20000,-1293.3,-1170.7,7.415050152,299.35,,16
0.999,0.9,0.95,0.05,0.001,128,1800,10000,-1313.895,-1178.5,7.499680328,299.9,,17
0.999,0.9,0.95,0.05,0.001,128,1800,20000,-1293.51,-1215.6,7.644949648,300,,18
